label,major_axis_length,minor_axis_length,area,perimeter,ratio,roundness,maj_len,min_len,min_pos,min_len05,ratio_contour,hue_mean,hue_std,hue_skew,sat_mean,sat_std,sat_skew,val_mean,val_std,val_skew,int_mean,int_std,int_skew,name,location,img_no
21,0.8819,0.3477,0.2389,2.1667,0.3943,0.6395,0.8812,0.3463,0.45,0.3409,0.393,0.1051,0.1537,4.657,0.2179,0.1577,0.5079,0.3273,0.0784,0.5565,64.4906,19.3951,1.4906,Alnus glutinosa,1,4
22,0.9343,0.2717,0.1955,2.1953,0.2908,0.5098,0.9249,0.2817,0.52,0.2563,0.3046,0.2438,0.3809,1.4052,0.2089,0.0784,-0.1656,0.3864,0.0595,0.4776,78.6183,15.5213,0.5451,Alnus glutinosa,1,4
23,0.9621,0.2797,0.2082,2.2601,0.2907,0.5122,0.9327,0.2807,0.22,0.2552,0.301,0.0707,0.1383,5.8554,0.1798,0.0946,0.0045,0.35,0.0681,0.6114,73.455,18.4589,1.2705,Alnus glutinosa,1,4
24,0.7292,0.2581,0.1454,1.7535,0.3539,0.5942,0.7218,0.2653,0.49,0.2616,0.3676,0.3269,0.4276,0.8172,0.1549,0.0782,0.2562,0.394,0.0577,0.2619,85.7914,15.7729,0.4868,Alnus glutinosa,1,4
25,0.8553,0.3104,0.2035,2.1068,0.3629,0.5761,0.8441,0.3244,0.62,0.3062,0.3843,0.298,0.42,0.9991,0.192,0.0851,0.2113,0.3789,0.0606,0.9046,78.3692,14.7498,1.3683,Alnus glutinosa,1,4
26,1.3459,0.4871,0.5024,3.2976,0.3619,0.5806,1.2962,0.5011,0.37,0.4531,0.3866,0.1356,0.2342,2.6659,0.1283,0.0925,1.2532,0.3353,0.0677,0.6055,74.6444,17.6444,1.1477,Alnus glutinosa,1,4
27,0.8496,0.3034,0.1999,2.203,0.3571,0.5176,0.8314,0.3061,0.34,0.2968,0.3682,0.0749,0.0397,14.3367,0.2437,0.1104,-0.0944,0.3663,0.0627,0.0595,71.0749,18.4812,0.9343,Alnus glutinosa,1,4
28,0.8074,0.3895,0.2449,2.1106,0.4824,0.6909,0.8108,0.4002,0.36,0.3777,0.4936,0.0675,0.0458,12.3567,0.2627,0.1087,-0.3316,0.3948,0.0706,-0.1847,73.9858,16.1553,0.5382,Alnus glutinosa,1,4
29,1.4195,0.4491,0.4748,3.4619,0.3164,0.4978,1.4556,0.4544,0.42,0.4325,0.3122,0.2074,0.3311,1.824,0.1784,0.1047,0.6452,0.3266,0.0674,0.7574,68.7796,17.7267,1.0611,Alnus glutinosa,1,4
30,1.0328,0.5095,0.4055,2.8161,0.4933,0.6425,1.0589,0.5169,0.33,0.4659,0.4881,0.1253,0.1975,3.4994,0.167,0.1161,0.3095,0.3331,0.0921,0.4464,69.8215,19.016,1.0554,Alnus glutinosa,1,4
1,0.8951,0.3911,0.2733,2.2892,0.4369,0.6554,0.8801,0.4018,0.55,0.3934,0.4565,0.0998,0.1198,5.3963,0.1368,0.1033,0.8044,0.2869,0.0782,1.1884,63.1033,19.5411,1.6934,Alnus glutinosa,1,5
2,0.8746,0.3843,0.2346,2.2731,0.4394,0.5706,0.8043,0.3985,0.54,0.3035,0.4955,0.0838,0.1288,6.1982,0.1739,0.0845,0.2036,0.328,0.056,1.5185,69.5229,16.7368,1.7867,Alnus glutinosa,1,5
3,0.694,0.2627,0.1352,1.7139,0.3785,0.5784,0.6586,0.2753,0.22,0.224,0.418,0.1713,0.3114,2.1725,0.1941,0.0884,-0.1001,0.3959,0.0609,0.055,82.0402,18.0032,0.5202,Alnus glutinosa,1,5
4,0.7577,0.2609,0.1531,1.8626,0.3443,0.5546,0.775,0.2716,0.47,0.2699,0.3505,0.082,0.1292,5.4549,0.244,0.1149,-0.6487,0.3812,0.0726,-0.0048,74.1585,22.0597,1.2153,Alnus glutinosa,1,5
5,0.9379,0.3582,0.25,2.3173,0.3819,0.585,0.9123,0.3757,0.1,0.3335,0.4118,0.1762,0.3285,2.0217,0.2127,0.0903,-0.4567,0.3579,0.0655,1.0451,72.4249,17.6814,1.4295,Alnus glutinosa,1,5
6,0.85,0.3702,0.2446,2.2717,0.4355,0.5956,0.8337,0.3818,0.44,0.3732,0.458,0.3085,0.3971,1.0089,0.1302,0.0646,0.2285,0.3273,0.0686,1.1338,73.2028,17.3726,1.4657,Alnus glutinosa,1,5
7,0.8942,0.35,0.2348,2.253,0.3914,0.5813,0.8919,0.3585,0.38,0.329,0.402,0.2829,0.4096,1.0207,0.1377,0.0788,0.0753,0.3195,0.0684,1.1325,70.7523,17.4307,1.8005,Alnus glutinosa,1,5
8,0.9166,0.3285,0.2253,2.2627,0.3584,0.553,0.8899,0.332,0.19,0.3051,0.3731,0.4217,0.4536,0.3612,0.1693,0.0816,0.0227,0.3484,0.0602,0.8265,75.1837,17.6896,1.2477,Alnus glutinosa,1,5
9,0.849,0.3734,0.2432,2.2138,0.4398,0.6236,0.8552,0.3758,0.52,0.3736,0.4394,0.1428,0.268,2.7606,0.2289,0.0996,-0.3864,0.3842,0.0777,0.2514,75.7246,18.6166,0.8098,Alnus glutinosa,1,5
10,0.8931,0.3037,0.2091,2.2346,0.3401,0.5262,0.9121,0.3091,0.5,0.307,0.3389,0.0788,0.1572,5.2383,0.2366,0.1076,-0.005,0.4082,0.075,1.0225,79.1554,17.1333,1.0339,Alnus glutinosa,1,5
11,0.9259,0.3304,0.2232,2.4393,0.3568,0.4714,0.9141,0.3631,0.39,0.3034,0.3972,0.1654,0.328,2.0367,0.1622,0.0748,-0.2692,0.3122,0.069,1.6255,67.1791,17.975,2.1085,Alnus glutinosa,1,5
12,1.2608,0.3093,0.3002,2.8599,0.2453,0.4612,1.1934,0.315,0.35,0.2944,0.264,0.1181,0.2052,3.7829,0.206,0.1017,-0.2337,0.372,0.0679,0.2188,75.5692,18.3157,1.0386,Alnus glutinosa,1,5
13,0.8939,0.3169,0.2207,2.1817,0.3545,0.5827,0.8773,0.3323,0.47,0.3285,0.3788,0.0737,0.0964,7.7013,0.1651,0.0841,-0.1789,0.3691,0.0607,0.0889,78.8252,16.7594,0.8365,Alnus glutinosa,1,5
14,1.0255,0.4167,0.3261,2.5542,0.4063,0.6281,1.0132,0.4129,0.44,0.4051,0.4075,0.2476,0.3934,1.2743,0.1875,0.0825,-0.0743,0.3705,0.0597,1.0979,77.359,15.7555,0.8609,Alnus glutinosa,1,5
15,1.0951,0.3497,0.2986,2.593,0.3193,0.5581,1.1134,0.3692,0.48,0.362,0.3316,0.0652,0.154,5.4962,0.1326,0.0604,2.5036,0.3525,0.0498,0.8739,78.0897,13.1903,1.1124,Alnus glutinosa,1,5
16,1.1784,0.4145,0.3633,3.0253,0.3517,0.4988,1.2055,0.4311,0.54,0.3998,0.3576,0.207,0.3446,1.7147,0.1698,0.0905,0.4591,0.3536,0.0666,0.6417,75.6595,19.0109,0.9595,Alnus glutinosa,1,5
17,1.0525,0.3446,0.2762,2.5594,0.3274,0.5299,1.0382,0.3543,0.66,0.3329,0.3413,0.1026,0.1949,4.1107,0.161,0.0879,0.5575,0.3269,0.0674,0.6822,69.981,16.6076,1.0927,Alnus glutinosa,1,5
18,0.963,0.3174,0.2387,2.2887,0.3296,0.5726,0.951,0.3197,0.47,0.3021,0.3362,0.0666,0.1267,6.5021,0.1304,0.0498,0.2001,0.3315,0.0501,1.2043,73.7213,13.4297,1.5946,Alnus glutinosa,1,5
19,1.0102,0.3539,0.2594,2.5371,0.3503,0.5064,1.0315,0.3657,0.51,0.3368,0.3545,0.5414,0.4243,-0.3269,0.1059,0.0951,1.3052,0.2526,0.0802,1.5573,58.9119,19.8037,1.9948,Alnus glutinosa,1,5
20,0.9458,0.3426,0.2489,2.3576,0.3622,0.5627,0.9333,0.3667,0.39,0.3468,0.3929,0.3923,0.343,0.0868,0.0618,0.0578,1.0669,0.2709,0.0818,1.0951,66.1951,19.5249,1.4012,Alnus glutinosa,1,5
21,0.849,0.3076,0.1995,2.1362,0.3623,0.5494,0.7981,0.3146,0.39,0.2924,0.3942,0.3042,0.4221,0.9736,0.186,0.0768,-0.3021,0.3649,0.0594,0.8301,76.6135,17.0469,1.3201,Alnus glutinosa,1,5
22,0.9624,0.3557,0.2508,2.604,0.3696,0.4648,0.8905,0.3699,0.56,0.3145,0.4154,0.3897,0.4593,0.5028,0.1871,0.0758,-0.4751,0.3768,0.066,0.5482,79.0049,16.9944,0.8976,Alnus glutinosa,1,5
23,1.3134,0.4169,0.3919,3.2904,0.3174,0.4549,1.2999,0.446,0.47,0.3896,0.3431,0.2464,0.3795,1.3174,0.1837,0.0938,-0.0801,0.3371,0.0821,0.438,70.7719,20.2519,1.0986,Alnus glutinosa,1,5
24,0.8693,0.3191,0.2104,2.1379,0.3671,0.5785,0.8738,0.3271,0.53,0.3069,0.3743,0.4341,0.4631,0.3232,0.1601,0.0645,-0.4457,0.4007,0.0663,0.6449,86.9232,16.4967,0.683,Alnus glutinosa,1,5
25,0.8285,0.2719,0.1748,1.9734,0.3282,0.5641,0.8041,0.267,0.58,0.2551,0.332,0.2273,0.378,1.4323,0.1328,0.0592,0.1021,0.3175,0.0699,1.1813,71.0313,19.017,1.4123,Alnus glutinosa,1,5
26,1.1384,0.4552,0.3447,2.9567,0.3999,0.4955,1.0752,0.511,0.46,0.3602,0.4753,0.138,0.2701,2.6304,0.1395,0.0802,0.386,0.3264,0.0776,0.6903,71.9042,19.4218,1.0357,Alnus glutinosa,1,5
27,0.8373,0.3884,0.2482,2.1958,0.4639,0.6469,0.8437,0.397,0.13,0.3775,0.4705,0.2233,0.1907,1.1522,0.0672,0.0656,1.9781,0.2957,0.0765,0.9693,70.319,17.0344,1.2169,Alnus glutinosa,1,5
28,0.9816,0.3153,0.2397,2.3613,0.3212,0.5402,0.9449,0.314,0.58,0.2953,0.3323,0.1099,0.2482,3.1586,0.1827,0.0732,-0.2717,0.3558,0.0588,0.5496,74.3532,14.8329,1.2644,Alnus glutinosa,1,5
29,0.8034,0.3664,0.2264,2.1127,0.4561,0.6374,0.7914,0.3659,0.49,0.3515,0.4623,0.1483,0.2823,2.542,0.1845,0.1,-0.1111,0.3677,0.0683,0.6069,76.4799,16.9916,1.1959,Alnus glutinosa,1,5
30,1.2529,0.4061,0.3045,3.1314,0.3241,0.3902,1.2547,0.4277,0.15,0.2927,0.3409,0.2664,0.3951,1.1835,0.1512,0.0856,-0.1416,0.3614,0.0665,0.391,78.6584,17.0768,1.0578,Alnus glutinosa,1,5
31,0.9102,0.4041,0.2837,2.3847,0.444,0.6269,0.93,0.4072,0.29,0.3904,0.4378,0.1125,0.21,3.556,0.1403,0.0924,0.4515,0.3359,0.0827,0.7863,73.3354,18.6883,1.0785,Alnus glutinosa,1,5
32,1.012,0.382,0.2656,2.6099,0.3775,0.49,0.9314,0.4286,0.47,0.2992,0.4602,0.2624,0.3022,0.9225,0.0581,0.0703,1.8111,0.2779,0.095,0.8468,66.8699,21.4686,1.0729,Alnus glutinosa,1,5
33,1.0497,0.3721,0.3008,2.6257,0.3545,0.5483,1.0111,0.3662,0.5,0.3595,0.3622,0.1719,0.312,2.0741,0.1264,0.0725,0.0133,0.3391,0.067,0.881,75.8106,17.2799,1.4029,Alnus glutinosa,1,5
34,1.0562,0.3372,0.2515,2.4897,0.3193,0.5099,1.0017,0.364,0.91,0.2877,0.3634,0.4048,0.439,0.4341,0.101,0.0669,1.014,0.3332,0.0628,1.0402,77.0327,15.8182,1.1458,Alnus glutinosa,1,5
35,1.2285,0.4127,0.391,3.0687,0.3359,0.5218,1.2478,0.4245,0.48,0.4179,0.3402,0.247,0.3333,1.363,0.069,0.0941,1.6647,0.3232,0.1039,1.0014,75.4216,19.6465,0.9915,Alnus glutinosa,1,5
36,0.897,0.4005,0.2722,2.3237,0.4465,0.6335,0.9034,0.4095,0.51,0.3972,0.4533,0.2213,0.3799,1.4458,0.2156,0.0967,-0.6838,0.3925,0.0655,0.3825,78.9935,16.9153,0.7916,Alnus glutinosa,1,5
1,0.7962,0.398,0.2398,2.167,0.4999,0.6417,0.7564,0.4262,0.25,0.3541,0.5635,0.1248,0.182,3.7321,0.1563,0.1157,0.2972,0.3103,0.0888,0.5812,66.7542,22.4054,1.2793,Alnus glutinosa,1,6
2,1.1075,0.3311,0.2831,2.6777,0.299,0.4962,1.0684,0.337,0.74,0.3183,0.3154,0.075,0.1105,6.6064,0.137,0.0616,-0.476,0.32,0.0642,1.445,70.9187,18.2834,1.8049,Alnus glutinosa,1,6
3,0.7947,0.4947,0.3044,2.3431,0.6225,0.6967,0.7965,0.503,0.39,0.4811,0.6315,0.1128,0.2439,3.1704,0.2583,0.1086,-0.7874,0.3443,0.0648,0.9235,65.7858,19.3017,1.7645,Alnus glutinosa,1,6
4,0.831,0.3018,0.1906,2.062,0.3632,0.5633,0.8437,0.3105,0.22,0.2952,0.368,0.4996,0.4392,-0.0124,0.0847,0.0564,0.3089,0.3008,0.067,1.6078,71.5757,17.8716,1.6701,Alnus glutinosa,1,6
5,1.119,0.4003,0.3396,2.8054,0.3577,0.5422,1.1232,0.405,0.52,0.3871,0.3606,0.2108,0.3384,1.6955,0.2555,0.1497,-0.2712,0.337,0.0668,0.3611,63.7174,16.8246,1.8714,Alnus glutinosa,1,6
6,0.7802,0.3791,0.2293,2.0801,0.4859,0.666,0.786,0.3722,0.5,0.3681,0.4735,0.107,0.165,4.405,0.1667,0.1237,0.5944,0.3006,0.0844,0.6276,63.1043,18.565,1.4171,Alnus glutinosa,1,6
7,1.2316,0.323,0.292,2.858,0.2623,0.4492,1.1848,0.3359,0.92,0.3047,0.2835,0.2704,0.2552,0.5608,0.0978,0.1313,1.8513,0.2641,0.0851,1.0705,60.6047,19.1338,1.6294,Alnus glutinosa,1,6
8,0.9043,0.3883,0.2671,2.3248,0.4294,0.621,0.9189,0.3899,0.67,0.3786,0.4243,0.2644,0.369,1.3252,0.1621,0.0744,-0.1717,0.3167,0.072,0.921,68.2362,17.7725,1.333,Alnus glutinosa,1,6
9,1.0168,0.4234,0.3237,2.6315,0.4164,0.5874,1.0352,0.4413,0.5,0.4197,0.4263,0.4329,0.3044,-0.2807,0.0497,0.0511,2.4112,0.2376,0.0863,1.5961,59.1908,21.1112,1.7058,Alnus glutinosa,1,6
10,0.9406,0.356,0.2606,2.3142,0.3785,0.6115,0.9357,0.3684,0.32,0.3621,0.3937,0.3777,0.4405,0.551,0.1236,0.0602,-0.0072,0.2876,0.0677,1.2751,64.8628,15.8175,1.7832,Alnus glutinosa,1,6
11,0.9012,0.2962,0.1908,2.2292,0.3287,0.4825,0.9069,0.3084,0.07,0.276,0.3401,0.0864,0.0882,8.3436,0.1603,0.1036,1.0943,0.3336,0.0717,0.744,71.5096,18.4496,0.9994,Alnus glutinosa,1,6
12,1.1101,0.2985,0.2447,2.575,0.2689,0.4638,1.1015,0.3282,0.19,0.2841,0.298,0.1255,0.2255,3.388,0.2084,0.106,-0.2393,0.3557,0.0634,0.4012,71.7638,16.3409,1.4803,Alnus glutinosa,1,6
13,1.005,0.3309,0.2472,2.4286,0.3293,0.5267,0.9715,0.3435,0.83,0.3061,0.3536,0.2718,0.3725,1.2118,0.1496,0.1,0.2075,0.3541,0.0679,0.6573,76.7194,15.2604,0.8511,Alnus glutinosa,1,6
14,0.7773,0.3217,0.1947,1.9919,0.4139,0.6167,0.7893,0.3368,0.39,0.3195,0.4267,0.4382,0.3284,-0.185,0.0621,0.0662,2.2302,0.2289,0.0783,1.6843,55.9643,18.0186,2.0335,Alnus glutinosa,1,6
15,1.1332,0.3437,0.2815,2.6742,0.3033,0.4947,1.0959,0.3555,0.08,0.3138,0.3244,0.2077,0.3079,2.0531,0.2397,0.1037,-0.197,0.4179,0.0694,0.589,81.3713,17.2752,0.4737,Alnus glutinosa,1,6
16,1.0069,0.4111,0.3147,2.5889,0.4083,0.59,0.968,0.4153,0.92,0.3963,0.429,0.1478,0.2633,2.7624,0.2575,0.1421,-0.1594,0.3444,0.0761,0.3236,65.3506,19.8466,1.1468,Alnus glutinosa,1,6
17,0.8653,0.3392,0.2246,2.1566,0.392,0.6068,0.8497,0.3436,0.16,0.3179,0.4044,0.0921,0.2043,3.9287,0.1876,0.0869,-0.0339,0.3204,0.0535,1.0076,66.6653,15.0516,1.6154,Alnus glutinosa,1,6
18,0.9171,0.3319,0.2359,2.3179,0.3619,0.5518,0.874,0.3361,0.42,0.3284,0.3846,0.1554,0.309,2.2419,0.1679,0.0764,-0.0574,0.3368,0.0718,0.5943,71.9091,18.4615,1.129,Alnus glutinosa,1,6
19,0.9478,0.3487,0.2536,2.4259,0.3679,0.5415,0.9288,0.3482,0.46,0.344,0.3749,0.4139,0.4429,0.4269,0.1489,0.083,0.3308,0.3586,0.0669,0.6012,79.1157,18.4543,0.7135,Alnus glutinosa,1,6
20,0.7716,0.2701,0.1618,1.866,0.3501,0.5839,0.7461,0.2672,0.63,0.2567,0.3581,0.3161,0.431,0.8951,0.1886,0.0783,-0.3087,0.3998,0.053,0.513,83.6041,15.3754,0.8623,Alnus glutinosa,1,6
21,0.8879,0.3456,0.2358,2.2387,0.3892,0.5912,0.8862,0.3614,0.49,0.3421,0.4078,0.5549,0.4586,-0.2038,0.159,0.0631,-0.1034,0.3495,0.0763,1.2469,76.4697,17.9106,1.363,Alnus glutinosa,1,6
22,0.8962,0.323,0.2253,2.2705,0.3604,0.5492,0.8812,0.3292,0.5,0.3186,0.3736,0.2448,0.3986,1.2937,0.2192,0.0905,0.0098,0.3529,0.0533,0.8595,71.1504,15.9981,1.2382,Alnus glutinosa,1,6
23,0.83,0.3347,0.2116,2.0709,0.4033,0.62,0.8207,0.3333,0.49,0.3237,0.4061,0.3638,0.4497,0.6194,0.1606,0.0784,-0.0924,0.381,0.0688,0.4165,82.5258,17.9558,0.777,Alnus glutinosa,1,6
24,0.9255,0.2988,0.2126,2.2578,0.3229,0.5241,0.9286,0.3241,0.46,0.3124,0.349,0.0685,0.1625,5.2346,0.1976,0.08,-0.2201,0.3639,0.0578,0.8817,74.8899,16.6509,1.3777,Alnus glutinosa,1,6
25,0.9045,0.2693,0.189,2.1233,0.2977,0.5268,0.8988,0.2824,0.4,0.2698,0.3142,0.0737,0.0359,7.445,0.1686,0.0779,0.4354,0.3857,0.0639,0.3122,81.7838,15.6788,0.4115,Alnus glutinosa,1,6
26,0.933,0.3288,0.2354,2.438,0.3524,0.4977,0.9097,0.3451,0.3,0.3047,0.3794,0.1016,0.1004,6.3869,0.1472,0.1032,0.6107,0.3032,0.0791,0.9117,65.9557,20.0466,1.3881,Alnus glutinosa,1,6
27,1.0,0.3764,0.2806,2.4711,0.3764,0.5775,1.0056,0.3905,0.51,0.3681,0.3883,0.3044,0.414,0.9539,0.1811,0.0666,-0.5991,0.3432,0.0581,0.3512,72.4946,14.0383,0.9524,Alnus glutinosa,1,6
28,0.8538,0.3576,0.2237,2.2531,0.4188,0.5538,0.8709,0.3614,0.43,0.3325,0.415,0.1453,0.2797,2.5641,0.1377,0.0815,1.2818,0.3434,0.0626,0.8274,75.6507,15.9538,1.0485,Alnus glutinosa,1,6
29,0.969,0.3551,0.2574,2.5987,0.3665,0.479,0.9529,0.4215,0.2,0.332,0.4423,0.2051,0.3297,1.7764,0.1188,0.0637,0.1922,0.3168,0.0842,0.8653,71.36,19.6434,1.0808,Alnus glutinosa,1,6
30,0.7966,0.3306,0.1949,2.0079,0.415,0.6075,0.8138,0.3334,0.54,0.3206,0.4097,0.2644,0.2672,1.0924,0.0454,0.0459,1.8699,0.2905,0.076,1.1093,71.1424,18.4152,1.2413,Alnus glutinosa,1,6
31,0.7973,0.3091,0.1888,1.9582,0.3877,0.6187,0.7731,0.3142,0.37,0.3007,0.4064,0.1711,0.269,2.5431,0.1979,0.1042,-0.2176,0.4146,0.0768,0.4399,84.4801,16.9873,0.568,Alnus glutinosa,1,6
32,0.9183,0.3257,0.2236,2.1867,0.3547,0.5876,0.8989,0.3383,0.46,0.2971,0.3763,0.1701,0.2443,1.6783,0.0274,0.0365,1.8514,0.2837,0.0702,1.3364,70.5228,16.9969,1.4646,Alnus glutinosa,1,6
33,1.0359,0.4287,0.3443,2.6178,0.4138,0.6314,1.057,0.4279,0.46,0.4247,0.4048,0.1051,0.262,3.0161,0.1994,0.0686,-0.8739,0.3615,0.068,0.8769,74.1557,17.093,1.3232,Alnus glutinosa,1,6
34,0.8721,0.3839,0.2507,2.2589,0.4402,0.6174,0.8402,0.4052,0.26,0.3498,0.4823,0.1624,0.2903,2.3563,0.1879,0.1056,0.2744,0.3353,0.0858,0.5847,69.2729,19.3424,1.0426,Alnus glutinosa,1,6
35,1.1821,0.3467,0.3186,2.77,0.2933,0.5218,1.1518,0.3551,0.46,0.3425,0.3083,0.4391,0.447,0.2841,0.119,0.0745,1.0168,0.3203,0.0715,0.9618,72.6981,17.3054,1.4303,Alnus glutinosa,1,6
36,0.9447,0.3043,0.2208,2.2752,0.3221,0.536,0.9364,0.3312,0.46,0.2868,0.3537,0.123,0.1553,3.6045,0.1262,0.0914,0.3821,0.3111,0.0871,0.4165,68.7487,19.087,1.0568,Alnus glutinosa,1,6
37,0.8168,0.3655,0.2227,2.0733,0.4475,0.651,0.8001,0.3631,0.51,0.3355,0.4538,0.0773,0.1296,6.2831,0.1641,0.07,-0.2725,0.3391,0.0621,0.914,72.6032,16.5832,1.2073,Alnus glutinosa,1,6
38,0.9174,0.3489,0.2411,2.2907,0.3803,0.5774,0.8995,0.3694,0.54,0.3066,0.4107,0.1148,0.1238,4.8242,0.1095,0.0823,0.8374,0.3273,0.079,0.729,74.1873,18.8263,0.8693,Alnus glutinosa,1,6
1,0.7868,0.377,0.2298,2.1091,0.4792,0.6492,0.7584,0.373,0.39,0.3645,0.4918,0.1045,0.1993,4.0009,0.2054,0.0892,-0.5477,0.3853,0.0719,-0.0126,78.3064,18.2056,0.7002,Alnus glutinosa,1,7
2,0.8082,0.3435,0.2132,2.0578,0.425,0.6327,0.812,0.3478,0.53,0.3423,0.4283,0.1771,0.3326,1.9435,0.1534,0.0663,0.0109,0.3499,0.0529,0.762,76.1403,15.37,1.1307,Alnus glutinosa,1,7
3,1.1947,0.4443,0.4093,3.0223,0.3719,0.5631,1.1661,0.4402,0.54,0.4325,0.3775,0.155,0.3015,2.3399,0.1935,0.0636,-0.786,0.3322,0.0614,0.7969,68.9844,16.4219,1.259,Alnus glutinosa,1,7
4,1.1357,0.3568,0.2978,2.7197,0.3142,0.5059,1.1043,0.3655,0.5,0.3355,0.331,0.2295,0.3129,1.7713,0.1016,0.0975,1.85,0.3256,0.068,1.2153,74.4293,16.0347,1.4026,Alnus glutinosa,1,7
5,0.8236,0.3753,0.239,2.2526,0.4557,0.5919,0.8092,0.392,0.42,0.3691,0.4844,0.1606,0.281,2.4865,0.2202,0.128,0.0296,0.3639,0.0945,0.4299,71.9404,20.7739,0.9333,Alnus glutinosa,1,7
6,0.8334,0.355,0.2302,2.1749,0.426,0.6116,0.862,0.3609,0.52,0.3552,0.4187,0.1651,0.2435,2.6093,0.0864,0.0791,1.569,0.2722,0.0835,1.3451,63.1843,19.5048,1.655,Alnus glutinosa,1,7
7,0.8865,0.3049,0.2017,2.1966,0.3439,0.5253,0.8726,0.3106,0.13,0.2898,0.3559,0.4668,0.4578,0.2001,0.1516,0.0783,-0.1739,0.345,0.061,0.8262,75.8444,16.2109,1.1023,Alnus glutinosa,1,7
8,1.1109,0.3774,0.3191,2.7103,0.3397,0.5459,1.1416,0.3964,0.39,0.3475,0.3472,0.1291,0.2372,3.1483,0.1511,0.0799,0.2729,0.3032,0.0574,1.3779,65.8522,14.9971,1.794,Alnus glutinosa,1,7
9,0.9005,0.2924,0.1972,2.1792,0.3247,0.5218,0.8919,0.3035,0.74,0.2785,0.3403,0.1871,0.3046,2.1426,0.1681,0.0874,0.042,0.3673,0.0611,0.7801,78.6067,17.4021,0.8087,Alnus glutinosa,1,7
10,0.7778,0.364,0.2187,2.0613,0.468,0.6468,0.7428,0.3462,0.41,0.3336,0.4661,0.0836,0.1514,5.3069,0.1719,0.0915,-0.0237,0.336,0.0652,0.8099,70.9689,16.6641,1.4831,Alnus glutinosa,1,7
11,0.9785,0.3461,0.2619,2.3695,0.3537,0.5862,0.945,0.3461,0.4,0.3347,0.3662,0.1585,0.3209,2.1168,0.1985,0.0913,0.2854,0.3033,0.0595,1.3176,62.4387,15.9533,1.6793,Alnus glutinosa,1,7
12,0.7859,0.3341,0.2026,2.0355,0.4251,0.6145,0.7852,0.3517,0.24,0.3093,0.4479,0.0929,0.0915,7.8684,0.1817,0.1114,0.4215,0.3176,0.0896,0.419,65.5993,19.5552,1.1556,Alnus glutinosa,1,7
13,0.8703,0.3348,0.223,2.2872,0.3847,0.5357,0.8989,0.3407,0.5,0.3308,0.379,0.3139,0.2956,0.3867,0.0547,0.0645,1.9362,0.2739,0.0854,1.3128,66.8108,19.1382,1.4384,Alnus glutinosa,1,7
14,0.8857,0.3162,0.2086,2.1785,0.357,0.5523,0.9072,0.3355,0.49,0.2783,0.3698,0.0943,0.0366,10.3878,0.306,0.1337,-0.4852,0.3863,0.0679,-0.1426,68.1202,17.3801,0.9165,Alnus glutinosa,1,7
15,0.8013,0.3791,0.2341,2.0637,0.4731,0.6907,0.7826,0.3756,0.18,0.3682,0.4799,0.4438,0.393,0.0845,0.0474,0.0401,1.0303,0.2541,0.0765,1.4646,62.6687,18.0437,1.6678,Alnus glutinosa,1,7
16,1.0414,0.4499,0.3451,2.7088,0.432,0.591,1.0664,0.4763,0.88,0.4153,0.4466,0.1713,0.2758,2.4792,0.154,0.0976,0.4889,0.2954,0.0723,0.8726,63.878,17.5867,1.1075,Alnus glutinosa,1,7
17,0.69,0.3234,0.1739,1.7902,0.4687,0.6819,0.7028,0.3311,0.43,0.3225,0.4711,0.2138,0.3297,1.856,0.182,0.087,0.7084,0.375,0.084,0.9795,78.5035,18.7148,0.7361,Alnus glutinosa,1,7
18,0.8573,0.3128,0.2048,2.0641,0.3649,0.6041,0.8499,0.3145,0.74,0.3083,0.37,0.1444,0.2948,2.4103,0.1457,0.0565,-0.4089,0.3087,0.0555,1.1436,67.8596,15.6468,1.4518,Alnus glutinosa,1,7
19,0.9426,0.4817,0.3378,2.6747,0.511,0.5934,0.9555,0.4726,0.5,0.4606,0.4946,0.3742,0.3957,0.4645,0.1272,0.0844,0.5539,0.3075,0.0874,0.8941,69.1733,18.4385,1.161,Alnus glutinosa,1,7
20,1.0366,0.3495,0.2706,2.4832,0.3372,0.5515,0.9877,0.3731,0.35,0.3095,0.3777,0.0946,0.0929,7.6254,0.1799,0.1138,0.3177,0.3677,0.0681,0.514,76.7492,17.4224,0.7444,Alnus glutinosa,1,7
21,0.9495,0.3365,0.2497,2.27,0.3544,0.6089,0.9079,0.3321,0.42,0.3269,0.3658,0.0777,0.0798,7.4695,0.1639,0.0949,0.4872,0.353,0.0624,0.4603,75.3793,16.8306,0.8268,Alnus glutinosa,1,7
22,0.798,0.318,0.1926,1.998,0.3985,0.6063,0.7551,0.3188,0.46,0.2962,0.4222,0.1541,0.2659,2.616,0.1611,0.0985,0.2029,0.3352,0.0689,0.5485,71.6276,16.8536,1.3354,Alnus glutinosa,1,7
23,0.9829,0.383,0.2847,2.4509,0.3897,0.5956,0.9474,0.3964,0.4,0.3432,0.4184,0.1476,0.2523,2.7159,0.1271,0.0819,0.6656,0.325,0.0713,0.9036,72.3616,17.2752,1.2759,Alnus glutinosa,1,7
24,0.8816,0.3666,0.2491,2.4363,0.4158,0.5274,0.8914,0.3823,0.54,0.353,0.4289,0.1762,0.3395,1.9064,0.1679,0.0737,-0.3717,0.3713,0.0683,0.0849,79.3049,17.7739,0.5564,Alnus glutinosa,1,7
