label,major_axis_length,minor_axis_length,area,perimeter,ratio,roundness,maj_len,min_len,min_pos,min_len05,ratio_contour,hue_mean,hue_std,hue_skew,sat_mean,sat_std,sat_skew,val_mean,val_std,val_skew,int_mean,int_std,int_skew,name,location,img_no
21,1.2056,0.6551,0.5849,4.0479,0.5434,0.4486,1.2734,0.7301,0.4,0.5456,0.5733,0.156,0.0443,9.9703,0.5723,0.2087,-0.8827,0.2976,0.0966,0.4474,34.0343,22.8688,1.4987,Acer pseudoplatanus,1,1
22,0.8185,0.5933,0.3775,2.8578,0.7249,0.5808,0.8734,0.5964,0.35,0.5769,0.6828,0.1324,0.0478,3.9319,0.3445,0.1936,0.1436,0.236,0.0994,0.6947,39.9593,22.6379,1.216,Acer pseudoplatanus,1,1
1,0.7258,0.4748,0.266,2.1547,0.6542,0.72,0.7301,0.4762,0.23,0.4529,0.6522,0.1462,0.0534,10.1758,0.5765,0.2358,-0.8881,0.2462,0.0894,0.242,28.2041,23.1125,1.7244,Acer pseudoplatanus,1,2
2,0.8307,0.433,0.2771,2.3505,0.5212,0.6303,0.8929,0.4339,0.47,0.4238,0.4859,0.1742,0.0455,6.3915,0.5645,0.2038,-1.1801,0.2676,0.0574,0.3245,31.0219,20.0158,1.8877,Acer pseudoplatanus,1,2
3,0.6189,0.4369,0.2096,1.8449,0.7059,0.7738,0.6381,0.4549,0.33,0.4363,0.7129,0.1538,0.0593,8.9372,0.5195,0.1827,-1.0687,0.3046,0.0747,-0.2779,38.4813,20.3523,1.366,Acer pseudoplatanus,1,2
4,0.9201,0.4571,0.3278,2.5893,0.4968,0.6144,0.9538,0.4753,0.35,0.4555,0.4983,0.137,0.0682,8.807,0.5501,0.2409,-0.7549,0.2729,0.0994,0.138,32.4814,23.3112,1.5633,Acer pseudoplatanus,1,2
5,0.6043,0.3114,0.145,1.6983,0.5153,0.6318,0.6295,0.3162,0.45,0.3122,0.5023,0.1615,0.0686,8.9153,0.5559,0.2154,-0.959,0.2872,0.0821,-0.3485,32.8117,20.8411,1.8199,Acer pseudoplatanus,1,2
6,1.0244,0.621,0.4925,3.1281,0.6062,0.6325,1.0571,0.6623,0.41,0.6066,0.6265,0.1352,0.0305,11.7589,0.4751,0.192,-0.6316,0.2607,0.1056,0.9723,35.8152,21.1779,1.2249,Acer pseudoplatanus,1,2
7,0.7706,0.4858,0.2884,2.3145,0.6304,0.6765,0.7792,0.4913,0.27,0.4744,0.6305,0.1455,0.067,8.4848,0.5324,0.2225,-0.7704,0.2619,0.1017,0.0822,31.8711,22.5974,1.4969,Acer pseudoplatanus,1,2
8,0.5537,0.3981,0.1672,1.877,0.719,0.5964,0.6237,0.3955,0.3,0.3788,0.6341,0.139,0.0583,9.3162,0.4513,0.2315,-0.2258,0.2395,0.0957,1.1474,33.6783,21.7374,1.4706,Acer pseudoplatanus,1,2
9,0.9153,0.6407,0.4421,3.0729,0.7,0.5883,0.9811,0.6805,0.6,0.6231,0.6936,0.131,0.0459,11.2864,0.5397,0.2327,-0.5219,0.2813,0.0991,0.5397,33.303,21.8626,1.3574,Acer pseudoplatanus,1,2
10,0.8715,0.4948,0.3331,2.6828,0.5678,0.5816,0.9085,0.5473,0.47,0.4897,0.6024,0.138,0.0646,10.3027,0.5925,0.1971,-1.0975,0.3223,0.0943,0.0402,34.7179,21.2561,1.3642,Acer pseudoplatanus,1,2
11,0.6331,0.5265,0.2534,2.1099,0.8316,0.7153,0.6625,0.5592,0.22,0.508,0.8441,0.1161,0.0383,9.6308,0.4933,0.2354,-0.2269,0.2651,0.0873,0.0262,34.5973,21.9569,1.314,Acer pseudoplatanus,1,2
12,0.714,0.3407,0.1886,1.9873,0.4772,0.6001,0.7266,0.3625,0.54,0.3519,0.4989,0.1347,0.0684,9.5074,0.5543,0.2275,-0.7694,0.2692,0.0885,0.6402,33.2608,23.2635,1.3186,Acer pseudoplatanus,1,2
13,0.6674,0.544,0.2822,2.1817,0.8151,0.745,0.6884,0.5583,0.41,0.535,0.811,0.1484,0.0536,10.1946,0.5546,0.2026,-1.0623,0.3473,0.0894,-0.1804,39.7647,20.2291,1.1102,Acer pseudoplatanus,1,2
14,0.8044,0.4856,0.3051,2.3133,0.6037,0.7165,0.8237,0.5002,0.31,0.4771,0.6073,0.1358,0.0748,8.6637,0.5327,0.2173,-0.5366,0.3008,0.108,0.2042,36.4812,24.2338,1.2339,Acer pseudoplatanus,1,2
